,precision,recall,f1-score,support
0,0.7440378663753868,0.7956005450652132,0.7689557855126999,5137.0
1,0.6638924455825864,0.5959770114942529,0.6281041792852816,3480.0
accuracy,0.7149820123012649,0.7149820123012649,0.7149820123012649,0.7149820123012649
macro avg,0.7039651559789866,0.695788778279733,0.6985299823989908,8617.0
weighted avg,0.7116709098523573,0.7149820123012649,0.7120724630488011,8617.0
