,precision,recall,f1-score,support
0,0.6873696753053321,0.8983842709752774,0.7788372289258291,5137.0
1,0.7256962690488702,0.3968390804597701,0.5130967861787108,3480.0
accuracy,0.6958338168736219,0.6958338168736219,0.6958338168736219,0.6958338168736219
macro avg,0.7065329721771012,0.6476116757175238,0.6459670075522699,8617.0
weighted avg,0.7028479793818683,0.6958338168736219,0.6715171940227339,8617.0
