,precision,recall,f1-score,support
0,0.9947643979057592,1.0,0.9973753280839895,190.0
1,1.0,0.9947368421052631,0.9973614775725593,190.0
accuracy,0.9973684210526316,0.9973684210526316,0.9973684210526316,0.9973684210526316
macro avg,0.9973821989528796,0.9973684210526316,0.9973684028282744,380.0
weighted avg,0.9973821989528795,0.9973684210526316,0.9973684028282744,380.0
