,precision,recall,f1-score,support
0,0.6631417837762626,0.9277788592563753,0.7734501785134696,5137.0
1,0.7405594405594406,0.30431034482758623,0.4313645621181263,3480.0
accuracy,0.6759893234304282,0.6759893234304282,0.6759893234304282,0.6759893234304282
macro avg,0.7018506121678516,0.6160446020419807,0.6024073703157979,8617.0
weighted avg,0.6944071250325535,0.6759893234304282,0.6352979277236595,8617.0
