,precision,recall,f1-score,support
0,0.873106476399561,0.7741872688339497,0.8206768468840281,5137.0
1,0.7144263909404235,0.8339080459770115,0.7695571466454522,3480.0
accuracy,0.7983056748288268,0.7983056748288268,0.7983056748288268,0.7983056748288268
macro avg,0.7937664336699922,0.8040476574054807,0.7951169967647401,8617.0
weighted avg,0.8090230718042495,0.7983056748288268,0.8000320103016625,8617.0
