,precision,recall,f1-score,support
0,0.7163286152050197,0.9556161183570178,0.8188490408673895,5137.0
1,0.8707482993197279,0.4413793103448276,0.585812356979405,3480.0
accuracy,0.7479401183706627,0.7479401183706627,0.7479401183706627,0.7479401183706627
macro avg,0.7935384572623738,0.6984977143509227,0.7023306989233973,8617.0
weighted avg,0.7786914445794173,0.7479401183706627,0.7247365121531983,8617.0
